סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,סמל ישוב קלפי,שם ישוב קלפי,סמל רחוב קלפי,שם רחוב קלפי,מס' בית,מקום קלפי,סווג מקום,מחוז
5000,תל אביב - יפו,172.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,173.0,050,"שטריקר,19 ",5000,תל אביב - יפו,817,שטריקר,19,"בי""ס תיכון י""א",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,174.0,098,"אנטיגונוס,6 ",5000,תל אביב - יפו,813,אנטיגונוס,6,מרכז טכנולוגי למינהל,מוסד להשכלה גבוהה/מכללה,תא
5000,תל אביב - יפו,175.0,098,"אנטיגונוס,6 ",5000,תל אביב - יפו,813,אנטיגונוס,6,מרכז טכנולוגי למינהל,מוסד להשכלה גבוהה/מכללה,תא
5000,תל אביב - יפו,176.0,050,"שטריקר,19 ",5000,תל אביב - יפו,817,שטריקר,19,"בי""ס תיכון י""א",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,178.0,050,"שטריקר,19 ",5000,תל אביב - יפו,817,שטריקר,19,"בי""ס תיכון י""א",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,179.0,079,"ויצמן,74 ",5000,תל אביב - יפו,829,ויצמן,74,"בי""ס תיכון ד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,180.0,185,"ועידת קטוביץ,47 ",5000,תל אביב - יפו,821,ועידת קטוביץ,47,"חט""ב עירוני ד' ע""ש אהרן קציר",חטיבת ביניים,תא
5000,תל אביב - יפו,181.0,185,"ועידת קטוביץ,47 ",5000,תל אביב - יפו,821,ועידת קטוביץ,47,"חט""ב עירוני ד' ע""ש אהרן קציר",חטיבת ביניים,תא
5000,תל אביב - יפו,182.0,185,"ועידת קטוביץ,47 ",5000,תל אביב - יפו,821,ועידת קטוביץ,47,"חט""ב עירוני ד' ע""ש אהרן קציר",חטיבת ביניים,תא
5000,תל אביב - יפו,183.0,115,"אונקלוס,8 ",5000,תל אביב - יפו,808,אונקלוס,8,"בי""ס בבלי ירושלמי המאוחד",בית ספר ממלכתי,תא
